name,value,time
motion,active,2018/12/3 23:14:30.496
motion,inactive,2018/12/3 23:14:18.767
motion,active,2018/12/3 23:14:07.427
motion,inactive,2018/12/3 23:14:02.084
motion,active,2018/12/3 23:13:18.009
motion,inactive,2018/12/3 23:13:12.853
motion,active,2018/12/3 23:09:05.584
motion,inactive,2018/12/3 23:09:03.887
motion,active,2018/12/3 23:04:02.599
motion,inactive,2018/12/3 23:03:49.928
motion,active,2018/12/3 23:02:56.242
motion,inactive,2018/12/3 23:02:49.723
motion,active,2018/12/3 23:02:30.252
motion,inactive,2018/12/3 23:02:27.123
motion,active,2018/12/3 23:00:44.658
motion,inactive,2018/12/3 23:00:41.588
motion,active,2018/12/3 23:00:02.167
motion,inactive,2018/12/3 22:59:57.748
motion,active,2018/12/3 22:59:12.519
motion,inactive,2018/12/3 22:59:11.500
motion,active,2018/12/3 22:58:42.353
motion,inactive,2018/12/3 22:58:34.987
motion,active,2018/12/3 22:56:49.968
motion,inactive,2018/12/3 22:56:45.048
motion,active,2018/12/3 22:56:23.238
motion,inactive,2018/12/3 22:55:41.770
motion,active,2018/12/3 22:55:07.127
motion,inactive,2018/12/3 22:55:04.017
motion,active,2018/12/3 22:54:52.156
motion,inactive,2018/12/3 22:54:46.478
motion,active,2018/12/3 22:54:36.107
motion,inactive,2018/12/3 22:54:16.564
motion,active,2018/12/3 22:54:01.367
motion,inactive,2018/12/3 22:53:45.319
motion,active,2018/12/3 22:53:30.573
motion,inactive,2018/12/3 22:52:57.719
motion,active,2018/12/3 22:51:57.642
acceleration,inactive,2018/12/3 22:51:57.489
acceleration,active,2018/12/3 22:51:51.712
acceleration,inactive,2018/12/3 22:46:13.436
acceleration,active,2018/12/3 22:46:06.705
motion,inactive,2018/12/3 22:45:57.031
motion,active,2018/12/3 22:45:40.263
motion,inactive,2018/12/3 22:45:35.737
motion,active,2018/12/3 22:44:50.928
motion,inactive,2018/12/3 22:43:09.948
motion,active,2018/12/3 22:42:32.627
acceleration,inactive,2018/12/3 22:41:23.466
acceleration,active,2018/12/3 22:41:18.850
motion,inactive,2018/12/3 22:40:57.979
acceleration,inactive,2018/12/3 22:40:54.129
acceleration,active,2018/12/3 22:40:50.016
acceleration,inactive,2018/12/3 22:40:33.919
motion,active,2018/12/3 22:40:31.397
acceleration,active,2018/12/3 22:40:29.285
acceleration,inactive,2018/12/3 22:39:42.163
acceleration,active,2018/12/3 22:39:37.821
acceleration,inactive,2018/12/3 22:39:24.420
acceleration,active,2018/12/3 22:39:19.743
motion,inactive,2018/12/3 22:38:38.806
acceleration,inactive,2018/12/3 22:38:33.159
acceleration,active,2018/12/3 22:38:29.106
motion,active,2018/12/3 22:38:23.223
motion,inactive,2018/12/3 22:37:56.933
motion,active,2018/12/3 22:37:45.504
motion,inactive,2018/12/3 22:37:21.427
motion,active,2018/12/3 22:36:51.407
motion,inactive,2018/12/3 22:36:50.214
motion,active,2018/12/3 22:36:34.188
motion,inactive,2018/12/3 22:36:18.320
motion,active,2018/12/3 22:36:05.607
motion,inactive,2018/12/3 22:35:51.656
motion,active,2018/12/3 22:35:18.066
motion,inactive,2018/12/3 22:34:57.437
motion,active,2018/12/3 22:34:31.987
motion,inactive,2018/12/3 22:34:08.175
motion,active,2018/12/3 22:33:56.134
motion,inactive,2018/12/3 22:33:52.186
motion,active,2018/12/3 22:33:16.218
motion,inactive,2018/12/3 22:33:10.940
motion,active,2018/12/3 22:32:59.146
motion,inactive,2018/12/3 22:32:58.126
motion,active,2018/12/3 22:31:44.440
motion,inactive,2018/12/3 22:31:42.207
motion,active,2018/12/3 22:31:25.445
motion,inactive,2018/12/3 22:31:14.980
motion,active,2018/12/3 22:30:52.780
motion,inactive,2018/12/3 22:30:50.160
motion,active,2018/12/3 22:26:25.850
motion,inactive,2018/12/3 22:26:23.841
motion,active,2018/12/3 22:24:54.127
motion,inactive,2018/12/3 22:24:50.641
motion,active,2018/12/3 22:24:37.471
motion,inactive,2018/12/3 22:24:34.461
motion,active,2018/12/3 22:23:42.109
motion,inactive,2018/12/3 22:23:29.417
motion,active,2018/12/3 22:22:55.202
motion,inactive,2018/12/3 22:22:53.015
motion,active,2018/12/3 22:21:09.260
motion,inactive,2018/12/3 22:21:06.791
motion,active,2018/12/3 22:20:18.610
motion,inactive,2018/12/3 22:20:14.889
motion,active,2018/12/3 22:19:31.882
motion,inactive,2018/12/3 22:19:30.749
motion,active,2018/12/3 22:18:20.859
motion,inactive,2018/12/3 22:18:14.386
motion,active,2018/12/3 22:17:41.850
motion,inactive,2018/12/3 22:17:34.780
motion,active,2018/12/3 22:17:16.868
motion,inactive,2018/12/3 22:17:15.260
acceleration,inactive,2018/12/3 22:13:45.177
motion,active,2018/12/3 22:13:42.647
acceleration,active,2018/12/3 22:13:39.430
acceleration,inactive,2018/12/3 22:13:35.617
motion,inactive,2018/12/3 22:13:32.520
acceleration,active,2018/12/3 22:13:29.745
status,open,2018/12/3 22:13:29.652
motion,active,2018/12/3 22:13:04.838
motion,inactive,2018/12/3 22:13:01.505
motion,active,2018/12/3 22:12:24.205
motion,inactive,2018/12/3 22:12:19.033
motion,active,2018/12/3 22:10:56.876
motion,inactive,2018/12/3 22:10:55.383
motion,active,2018/12/3 22:09:49.886
motion,inactive,2018/12/3 22:09:45.576
motion,active,2018/12/3 22:08:15.789
motion,inactive,2018/12/3 22:08:10.699
motion,active,2018/12/3 22:07:14.630
motion,inactive,2018/12/3 22:07:13.610
motion,active,2018/12/3 22:05:39.441
motion,inactive,2018/12/3 22:05:29.631
motion,active,2018/12/3 22:04:16.012
motion,inactive,2018/12/3 22:04:12.939
motion,active,2018/12/3 22:02:22.329
motion,inactive,2018/12/3 22:02:20.157
temperature,72,2018/12/3 22:00:35.944
motion,active,2018/12/3 21:58:23.709
motion,inactive,2018/12/3 21:57:51.729
motion,active,2018/12/3 21:57:39.969
motion,inactive,2018/12/3 21:57:18.429
motion,active,2018/12/3 21:56:59.378
motion,inactive,2018/12/3 21:56:56.429
motion,active,2018/12/3 21:56:27.219
motion,inactive,2018/12/3 21:56:10.407
motion,active,2018/12/3 21:55:23.719
motion,inactive,2018/12/3 21:55:18.909
motion,active,2018/12/3 21:54:55.887
motion,inactive,2018/12/3 21:54:31.939
motion,active,2018/12/3 21:54:00.761
motion,inactive,2018/12/3 21:53:51.462
motion,active,2018/12/3 21:53:36.752
motion,inactive,2018/12/3 21:53:30.805
motion,active,2018/12/3 21:53:02.656
acceleration,inactive,2018/12/3 21:53:02.072
status,closed,2018/12/3 21:52:58.402
acceleration,active,2018/12/3 21:52:56.005
acceleration,inactive,2018/12/3 21:52:52.992
acceleration,active,2018/12/3 21:52:47.872
status,open,2018/12/3 21:52:47.585
motion,inactive,2018/12/3 21:52:41.002
motion,active,2018/12/3 21:52:18.080
motion,inactive,2018/12/3 21:52:17.892
motion,active,2018/12/3 21:52:00.972
motion,inactive,2018/12/3 21:51:59.952
motion,active,2018/12/3 21:51:26.344
motion,inactive,2018/12/3 21:51:25.325
motion,active,2018/12/3 21:50:46.590
motion,inactive,2018/12/3 21:50:28.169
motion,active,2018/12/3 21:49:47.472
motion,inactive,2018/12/3 21:49:41.292
motion,active,2018/12/3 21:48:35.651
motion,inactive,2018/12/3 21:48:28.830
motion,active,2018/12/3 21:47:58.270
motion,inactive,2018/12/3 21:47:55.870
motion,active,2018/12/3 21:47:25.950
motion,inactive,2018/12/3 21:47:23.735
motion,active,2018/12/3 21:46:57.304
motion,inactive,2018/12/3 21:46:34.445
motion,active,2018/12/3 21:46:13.517
motion,inactive,2018/12/3 21:46:12.503
motion,active,2018/12/3 21:45:41.254
motion,inactive,2018/12/3 21:45:40.235
motion,active,2018/12/3 21:45:20.082
motion,inactive,2018/12/3 21:45:15.936
motion,active,2018/12/3 21:44:51.366
motion,inactive,2018/12/3 21:44:47.676
motion,active,2018/12/3 21:44:34.165
motion,inactive,2018/12/3 21:44:17.070
motion,active,2018/12/3 21:44:02.115
motion,inactive,2018/12/3 21:43:54.956
motion,active,2018/12/3 21:43:06.480
motion,inactive,2018/12/3 21:42:53.527
motion,active,2018/12/3 21:40:42.971
