name,value,time
motion,inactive,33:11.5
acceleration,inactive,33:08.4
status,open,33:04.1
acceleration,active,33:04.1
acceleration,inactive,21:27.4
motion,active,21:25.7
status,closed,21:23.7
acceleration,active,21:21.7
motion,inactive,16:11.8
acceleration,inactive,16:04.1
acceleration,active,16:00.0
motion,active,15:14.4
motion,inactive,15:03.4
motion,active,14:30.5
motion,inactive,14:18.8
motion,active,14:07.4
motion,inactive,14:02.1
motion,active,13:18.0
motion,inactive,13:12.9
motion,active,09:05.6
motion,inactive,09:03.9
motion,active,04:02.6
motion,inactive,03:49.9
motion,active,02:56.2
motion,inactive,02:49.7
motion,active,02:30.3
motion,inactive,02:27.1
motion,active,00:44.7
motion,inactive,00:41.6
motion,active,00:02.2
motion,inactive,59:57.7
motion,active,59:12.5
motion,inactive,59:11.5
motion,active,58:42.4
motion,inactive,58:35.0
motion,active,56:50.0
motion,inactive,56:45.0
motion,active,56:23.2
motion,inactive,55:41.8
motion,active,55:07.1
motion,inactive,55:04.0
motion,active,54:52.2
motion,inactive,54:46.5
motion,active,54:36.1
motion,inactive,54:16.6
motion,active,54:01.4
motion,inactive,53:45.3
motion,active,53:30.6
motion,inactive,52:57.7
motion,active,51:57.6
acceleration,inactive,51:57.5
acceleration,active,51:51.7
acceleration,inactive,46:13.4
acceleration,active,46:06.7
motion,inactive,45:57.0
motion,active,45:40.3
motion,inactive,45:35.7
motion,active,44:50.9
motion,inactive,43:09.9
motion,active,42:32.6
acceleration,inactive,41:23.5
acceleration,active,41:18.8
motion,inactive,40:58.0
acceleration,inactive,40:54.1
acceleration,active,40:50.0
acceleration,inactive,40:33.9
motion,active,40:31.4
acceleration,active,40:29.3
acceleration,inactive,39:42.2
acceleration,active,39:37.8
acceleration,inactive,39:24.4
acceleration,active,39:19.7
motion,inactive,38:38.8
acceleration,inactive,38:33.2
acceleration,active,38:29.1
motion,active,38:23.2
motion,inactive,37:56.9
motion,active,37:45.5
motion,inactive,37:21.4
motion,active,36:51.4
motion,inactive,36:50.2
motion,active,36:34.2
motion,inactive,36:18.3
motion,active,36:05.6
motion,inactive,35:51.7
motion,active,35:18.1
motion,inactive,34:57.4
motion,active,34:32.0
motion,inactive,34:08.2
motion,active,33:56.1
motion,inactive,33:52.2
motion,active,33:16.2
motion,inactive,33:10.9
motion,active,32:59.1
motion,inactive,32:58.1
motion,active,31:44.4
motion,inactive,31:42.2
motion,active,31:25.4
motion,inactive,31:15.0
motion,active,30:52.8
motion,inactive,30:50.2
motion,active,26:25.8
motion,inactive,26:23.8
motion,active,24:54.1
motion,inactive,24:50.6
motion,active,24:37.5
motion,inactive,24:34.5
motion,active,23:42.1
motion,inactive,23:29.4
motion,active,22:55.2
motion,inactive,22:53.0
motion,active,21:09.3
motion,inactive,21:06.8
motion,active,20:18.6
motion,inactive,20:14.9
motion,active,19:31.9
motion,inactive,19:30.7
motion,active,18:20.9
motion,inactive,18:14.4
motion,active,17:41.8
motion,inactive,17:34.8
motion,active,17:16.9
motion,inactive,17:15.3
acceleration,inactive,13:45.2
motion,active,13:42.6
acceleration,active,13:39.4
acceleration,inactive,13:35.6
motion,inactive,13:32.5
acceleration,active,13:29.7
status,open,13:29.7
motion,active,13:04.8
motion,inactive,13:01.5
motion,active,12:24.2
motion,inactive,12:19.0
motion,active,10:56.9
motion,inactive,10:55.4
motion,active,09:49.9
motion,inactive,09:45.6
motion,active,08:15.8
motion,inactive,08:10.7
motion,active,07:14.6
motion,inactive,07:13.6
motion,active,05:39.4
motion,inactive,05:29.6
motion,active,04:16.0
motion,inactive,04:12.9
motion,active,02:22.3
motion,inactive,02:20.2
temperature,72,00:35.9
motion,active,58:23.7
motion,inactive,57:51.7
motion,active,57:40.0
motion,inactive,57:18.4
motion,active,56:59.4
motion,inactive,56:56.4
motion,active,56:27.2
motion,inactive,56:10.4
motion,active,55:23.7
motion,inactive,55:18.9
motion,active,54:55.9
motion,inactive,54:31.9
motion,active,54:00.8
motion,inactive,53:51.5
motion,active,53:36.8
motion,inactive,53:30.8
motion,active,53:02.7
acceleration,inactive,53:02.1
status,closed,52:58.4
acceleration,active,52:56.0
acceleration,inactive,52:53.0
acceleration,active,52:47.9
status,open,52:47.6
motion,inactive,52:41.0
motion,active,52:18.1
motion,inactive,52:17.9
motion,active,52:01.0
motion,inactive,52:00.0
motion,active,51:26.3
motion,inactive,51:25.3
motion,active,50:46.6
motion,inactive,50:28.2
motion,active,49:47.5
motion,inactive,49:41.3
motion,active,48:35.7
motion,inactive,48:28.8
motion,active,47:58.3
motion,inactive,47:55.9
motion,active,47:25.9
motion,inactive,47:23.7
motion,active,46:57.3
motion,inactive,46:34.4
motion,active,46:13.5
motion,inactive,46:12.5
motion,active,45:41.3
motion,inactive,45:40.2
motion,active,45:20.1
motion,inactive,45:15.9
motion,active,44:51.4
motion,inactive,44:47.7
motion,active,44:34.2
motion,inactive,44:17.1
motion,active,44:02.1
motion,inactive,43:55.0
motion,active,43:06.5
motion,inactive,42:53.5
motion,active,40:43.0
motion,inactive,40:40.0
motion,active,38:46.5
motion,inactive,38:31.1
motion,active,38:17.4
motion,inactive,38:16.4
motion,active,38:03.7
motion,inactive,37:57.4
motion,active,36:24.9
motion,inactive,36:22.7
motion,active,36:12.5
motion,inactive,36:07.3
motion,active,35:56.9
motion,inactive,35:55.4
motion,active,35:17.8
motion,inactive,35:13.7
motion,active,34:52.5
motion,inactive,34:44.3
motion,active,34:20.0
motion,inactive,34:19.0
motion,active,33:19.0
motion,inactive,33:09.8
motion,active,32:20.9
motion,inactive,32:14.2
motion,active,31:41.4
motion,inactive,31:40.4
motion,active,30:30.0
motion,inactive,30:19.0
motion,active,28:45.6
acceleration,inactive,28:44.0
acceleration,active,28:40.4
status,closed,28:40.3
acceleration,inactive,26:56.4
acceleration,active,26:50.6
motion,inactive,13:21.0
acceleration,inactive,13:16.3
acceleration,active,13:12.8
motion,active,13:09.8
acceleration,inactive,12:55.1
acceleration,active,12:51.6
motion,inactive,12:39.9
motion,active,12:26.2
acceleration,inactive,12:15.9
acceleration,active,12:11.7
temperature,71,25:16.9
acceleration,inactive,22:23.4
acceleration,active,22:18.9
motion,inactive,21:58.2
motion,active,21:04.5
acceleration,inactive,21:03.2
acceleration,active,20:58.6
motion,inactive,18:03.1
acceleration,inactive,17:56.7
acceleration,active,17:52.2
motion,active,17:09.2
motion,inactive,17:08.1
motion,active,16:36.1
motion,inactive,16:33.5
motion,active,15:36.3
motion,inactive,15:18.1
acceleration,inactive,14:54.5
motion,active,14:51.9
acceleration,active,14:49.2
acceleration,inactive,14:30.3
acceleration,active,14:26.1
motion,inactive,13:23.9
motion,active,13:10.8
motion,inactive,12:58.6
motion,active,12:47.6
motion,inactive,12:44.0
motion,active,12:28.2
acceleration,inactive,12:06.2
acceleration,active,12:01.6
acceleration,inactive,11:47.3
acceleration,active,11:43.2
motion,inactive,10:49.3
acceleration,inactive,10:44.1
acceleration,active,10:39.4
motion,active,10:36.5
motion,inactive,10:17.8
acceleration,inactive,10:12.4
status,open,10:08.2
acceleration,active,10:08.1
motion,active,08:41.0
motion,inactive,18:53.7
motion,active,17:07.2
motion,inactive,15:58.6
motion,active,13:52.3
motion,inactive,13:43.1
acceleration,inactive,13:25.6
acceleration,active,13:22.2
motion,active,13:03.4
motion,inactive,13:02.4
motion,active,10:57.6
motion,inactive,10:51.3
motion,active,10:35.6
motion,inactive,10:26.8
motion,active,10:00.7
motion,inactive,09:57.4
motion,active,09:10.5
motion,inactive,09:08.8
motion,active,08:46.6
motion,inactive,08:43.4
motion,active,08:25.0
motion,inactive,08:24.0
motion,active,04:19.2
motion,inactive,04:15.1
motion,active,03:06.9
motion,inactive,02:58.0
motion,active,01:29.3
acceleration,inactive,01:28.6
status,closed,01:24.7
acceleration,active,01:21.1
status,open,01:21.0
acceleration,inactive,57:00.1
acceleration,active,56:56.6
status,closed,56:56.2
motion,inactive,51:58.4
acceleration,inactive,51:52.8
acceleration,active,51:47.6
motion,active,51:40.5
acceleration,inactive,51:27.6
acceleration,active,51:23.6
temperature,72,44:45.0
acceleration,inactive,29:42.3
acceleration,active,29:34.0
acceleration,inactive,28:01.4
acceleration,active,27:56.9
motion,inactive,27:27.3
motion,active,25:44.8
motion,inactive,25:05.4
motion,active,24:54.4
motion,inactive,24:42.1
acceleration,inactive,24:32.7
motion,active,24:31.2
acceleration,active,24:28.1
temperature,73,24:14.3
acceleration,inactive,24:04.6
acceleration,active,24:00.4
motion,inactive,23:56.1
motion,active,23:35.6
acceleration,inactive,23:17.3
acceleration,active,23:12.5
motion,inactive,22:28.3
motion,active,20:11.2
